id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
792307,Poor Things,"['Science Fiction', 'Romance', 'Comedy']",en,Brought back to life by an unorthodox scientist a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times she grows steadfast in her purpose to stand for equality and liberation.,337.215,Searchlight Pictures-Film4 Productions-TSG Entertainment-Element Pictures-Limp-Fruit Tree,7/12/2023,35000000,117193959,142.0,Released,She's like nothing you've ever seen.,7.788,3376,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Christopher Abbott', 'Suzy Bemba', 'Jerrod Carmichael', 'Kathryn Hunter', 'Vicki Pepperdine', 'Hanna Schygulla', 'Margaret Qualley', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Grundberg', 'Attila KecskemÃ©thy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson', 'Vivienne Soan', 'Jerskin Fendrix', 'IstvÃ¡n GÃ¶z', 'Bruna Asdorian', 'TamÃ¡s SzabÃ³ Sipos', 'Tom Stourton', 'Mascuud Dahir', 'Miles Jovian', 'Jeremy Wheeler', 'JÃ¡nos GerÃ©b', 'Patrick de Valette', 'RaphaÃ«l ThiÃ©ry', 'Boris Gillot', 'Dorina KovÃ¡cs', 'Yorgos Stefanakos', 'Hubert Benhamdine', 'Laurent Borel', 'GÃ¡bor Patay', 'Laurent Winkler', 'Andrew Hefler', 'Damien Bonnard', 'Noah Breton', 'Donovan Fouassier', 'Wayne Brett', 'John Locke', 'Keeley Forsyth', 'David Bromley', 'Celina Schleicher', 'Roderick Hill']",ship-london england-experiment-paris france-based on novel or book-obsession-lisbon portugal-crooked lawyer-love-domestic abuse-female protagonist-doctor-prostitution-cruelty-scientist-masturbation-disfigured face-sexual awakening-exploring sexuality-sex worker-female empowerment-female sexuality-brain transplant-absurdism-quest for knowledge-spousal abuse-women's liberation-alexandria egypt-victorian era-quest for identity-frankenstein-pathetic-body horror-condescending,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,/bQS43HSLZzMjZkcHJz4fGc7fNdz.jpg,467244-693134-840430-666277-915935-976893-994108-1026227-848538-937746-1056360-1072790-1058694-930564-895549-850165-763215-872585-375262-438631
573171,A Frozen Rooster,"['Animation', 'Adventure', 'Comedy', 'Family']",es,Follow the adventures of Toto and his family who will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to fulfill the promise they will have to overcome some obstacles that will teach them how important teamwork is.,336.403,Huevocartoon Producciones,14/12/2022,0,0,91.0,Released,,8.0,235,"['Bruno Bichir', 'Mauricio Castillo', 'Marcelo Barcelo', 'Miguel Rodarte', 'Arath de la Torre', 'AngÃ©lica Vale', 'Maite Perroni', 'Carlos Espejel', 'Vadhir Derbez', 'Dione Riva Palacio Santacruz', 'Oliver DÃ­az Barba', 'Juan Frese', 'MÃ³nica Santacruz', 'Hector Lee', 'MarÃ­a Alicia Delgado', 'Claudio Herrera', 'Humberto VÃ©lez', 'Rodolfo Riva Palacio Alatriste', 'Gabriel Riva Palacio Alatriste', 'Fernando Meza', 'LulÃº MorÃ¡n', 'JosÃ© Francisco Lavat Pacheco', 'Ximena de Anda']",,/gBBCBMXKzWRADtliUYfV69aVIcz.jpg,/qdFrqXYH6PtyAVlegub7bpoSgro.jpg,315162-683328-1024546-1015963-854239-873126-939210-264419-878183-987758-1035654-1041513-740952-985335-721187-973608-899294-1045944-724495-12205-1001865
833950,Little Lies,"['Comedy', 'Romance', 'Thriller']",es,Amidst the problems in their childless marriage MatÃ­as and Eva try their hand at matchmaking setting up their friend Barbara with the man who seems perfect JuliÃ¡n. Once they realize that Julian is not what he seems they try to warn Barbara away but she may already be too infatuated.,334.664,Magoya Films-Aliwen Entertainment,21/9/2022,0,0,92.0,Released,,7.889,17,"['Lucas Akoskin', 'Leonor Varela', 'Florencia PeÃ±a', 'BenjamÃ­n VicuÃ±a', 'Coca Guazzini', 'GermÃ¡n Baudino', 'Flor Vigna', 'Agustina SuaÌsquita']",,/s3NoPF6LAKDl3KUGkZsYPX9ionc.jpg,/A3mIOnYBOGKpqpfHuoES6ZIP9HP.jpg,
785521,Battle: Freestyle,"['Romance', 'Drama']",no,Amalie and Mikael lead their street dance team to the finals in France but tough competition and personal distractions threaten to ruin their dreams.,333.723,Friland Produksjon AS,1/4/2022,0,0,88.0,Released,,5.1,28,"['Lisa Teige', 'Fabian Svegaard Tapia', 'Ellen Dorrit Petersen', 'Morad Aziman', 'Georgia May Anta', 'Bao Andre Nguyen', 'Keiona', 'LÃ©a Djyl', 'Lea Lavabre', 'Adeline Tayoro', 'Ola G. Furuseth', 'Christine Grace SzarkÃ³', 'Philou', 'Salah Benlemqawanssa', 'Sarah Bee', 'Bboy Junior', 'Martine Mbock', 'Kevin Staincq']",paris france-based on novel or book-norway-dance-sequel-battle-vibes,/6D6QumiHEhnpZG12Ibjy2BxA6n4.jpg,/8WpRRiz3qQqzBiifCTm1dW0b6bs.jpg,818750-790525-800407-739993-946726-682344-953233-505026
912826,Rubius X,['Documentary'],es,"On the 10th anniversary of the publication of his first video on the Internet ""Rubius X"" is a documentary that deals with the origin motivation and secrets behind Rubius one of the most followed Spanish content creators in the world. A review of the history of a pioneer the icon of a whole generation who represents like few others the revolution of the new digital media.",331.967,Noob Studios,21/7/2022,0,0,76.0,Released,,8.535,101,"['RubÃ©n Doblas Gundersen', 'Miguel Ãngel Rogel', 'Alejandro Bravo YaÃ±ez', 'Abraham Bandera', 'Irina Isaia', 'Bente Gundersen', 'Irene CÃ­vico']",twitch streamer-youtuber,/k6KAAVebtdVb0FRU2PWqYLnhgRA.jpg,/9k6dWJws6iAxZTG5Nz4Ow1gamB1.jpg,862855-648743-838330-725201-718789-700173-787787-839976-955740-384756-852830-644714-746419-798223-752803-997023-973509-891931-939475-800855-993729
507086,Jurassic World Dominion,"['Adventure', 'Action', 'Science Fiction']",en,Four years after the destruction of Isla Nublar Biosyn operatives attempt to track down Maisie Lockwood while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.,326.317,Amblin Entertainment-Universal Pictures,1/6/2022,165000000,1001978080,147.0,Released,The epic conclusion of the Jurassic era.,6.9,4493,"['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern', 'Jeff Goldblum', 'Sam Neill', 'DeWanda Wise', 'Mamoudou Athie', 'Isabella Sermon', 'Campbell Scott', 'BD Wong', 'Omar Sy', 'Justice Smith', 'Daniella Pineda', 'Scott Haze', 'Dichen Lachman', 'Caleb Hearon', 'Kristoffer Polaha', 'Freya Parker', 'Alexander Owen', 'Joel Elferink', 'Elva Trill', 'Lillia Langley', 'Glynis Davies', 'Dimitri Vegas', 'Adam Kiani', 'Enzo Squillino Jr.', 'Bastian Antonio Fuentes', 'Ross Donnelly', 'Manuela Mora', 'Teresa Cendon', 'Garcia', 'Metin Hassan', 'Cokey Falkow', 'Jasmine Chiu', 'Emilie Jumeaux', 'Eleanor Tata', 'Lynn Hunter', 'Cathleen Summers', 'Patrick Loungway', 'Michael Bendib', 'Ahir Shah']",giant monster-dinosaur-child kidnapping-jurassic-animal sanctuary-shot on film,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,/jauI01vUIkPA0xVsamGj0Gs1nNL.jpg,438148-616037-361743-756999-338953-419669-585511-718789-871693-748918-766507-453395-913612-73369-225145-990593-348966-985898-610150-919355-560057
929562,In the Forest,"['Horror', 'Thriller']",en,Helen and her daughter Emily reluctantly accompany Helenâ€™s father Stan on a family camping trip driving deep into the forest for a real outdoors experience only to have angry landowner Howard arrive and force them to leave. When their RV gets stuck Helen decides to seek help but discovers a disturbing secret on the manâ€™s property. She must then fight to protect her family and make it out of the forest alive before being hunted down.,322.155,Vertical Entertainment,28/1/2022,0,0,83.0,Released,,6.1,13,"['Debbon Ayer', 'Cristina Spruell', 'Lyman Ward', 'Don Baldaramos', 'Kaitlyn Dias', 'Time Winters', 'Sharon Sharth']",thriller-survival-backwoods,/pWKTaGN9WMcKHKAir9POsKm4vEo.jpg,/h2VmRSlnuH8RCPa7loYZK350q6J.jpg,762504
810693,Jujutsu Kaisen 0,"['Animation', 'Action', 'Fantasy']",ja,Yuta Okkotsu is a nervous high school student who is suffering from a serious problemâ€”his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse his plight is noticed by Satoru Gojo a teacher at Jujutsu High a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll but can he learn enough in time to confront the curse that haunts him?,321.753,MAPPA-Shueisha-Sumzap-MBS-dugout-TOHO,24/12/2021,0,195870885,105.0,Released,Fight what's within.,8.224,831,"['Megumi Ogata', 'Kana Hanazawa', 'Yuichi Nakamura', 'Takahiro Sakurai', 'Mikako Komatsu', 'Koki Uchiyama', 'Tomokazu Seki', 'Mitsuo Iwata', 'Takaya Kuroda', 'Risae Matsuda', 'Satsumi Matsuda', 'Shizuka Itoh', 'Show Hayami', 'Koichi Yamadera', 'Subaru Kimura', 'Satoshi Hino', 'Rie Kugimiya', 'Marina Inoue', 'Chinatsu Akasaki', 'Yoshitsugu Matsuoka', 'Kenjiro Tsuda', 'Aya Endo', 'Kotono Mitsuishi', 'Yuu Hayashi', 'Sora Tokui', 'Shin', 'ichiro Miki', 'Taiki Yamashita', 'Hina Suguta', 'Seiko Fujiki', 'Binbin Takaoka', 'Yurika Hino', 'Osamu Mukai', 'Eiji Yoshitomi', 'Itaru Yamamoto', 'Hayato Fujii', 'Shohei To', 'Hinata Tadokoro', 'Shuichi Uchida', 'Natsu Yorita', 'Ikuji Nose', 'Yasuhiro Mamiya', 'Jun Inoue', 'Kousuke Oonishi', 'Natsuko Abe']",exorcism-supernatural-horror-paranormal-curse-tragedy-based on manga-spirit-demon-school life-shounen-anime,/23oJaeBh0FDk2mQ2P240PU9Xxfh.jpg,/rcEDPOOOUTLFxLLQJggfLffbofe.jpg,766507-610150-667276-919355-575249-648457-354279-896448-616037-585511-697799-111499-609096-1006851-635302-61417-636146-768744-978436-961484-759175
877269,Strange World,"['Animation', 'Family', 'Adventure', 'Science Fiction']",en,A journey deep into an uncharted and treacherous land where fantastical creatures await the legendary Cladesâ€”a family of explorers whose differences threaten to topple their latest and by far most crucial mission.,318.312,Walt Disney Pictures-Walt Disney Animation Studios,23/11/2022,180000000,73621640,102.0,Released,Journey to a place where nothing is as it appears!,6.513,831,"['Jake Gyllenhaal', 'Dennis Quaid', 'Jaboukie Young', 'White', 'Gabrielle Union', 'Lucy Liu', 'Alan Tudyk', 'Jonathan Melo', 'Abraham Benrubi', 'Karan Soni', 'Adelina Anthony', 'Nik Dodani', 'Francesca Reale', 'Emily Kuroda', 'Reed Buck', 'Katie Lowes', 'LaNisa Renee Frederick', 'Dave Kohut', 'Alice Kina Diehl']",monster-harmony-farmer-explorer-lgbt teen-alternative world,/fHMqfsYyl3lskPK2RiFRwhzwuep.jpg,/5wDBVictj4wUYZ31gR5WzCM9dLD.jpg,860155-661374-835433-899112-668482-1041513-4282-76600-593643-315162-676710-393857-751741-338958-59059-774752-1068621-1024433-299018-800814-902970
877703,Teen Wolf: The Movie,"['Action', 'Fantasy', 'TV Movie']",en,The wolves are howling once again as a terrifying ancient evil emerges in Beacon Hills. Scott McCall no longer a teenager yet still an Alpha must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.,316.163,MTV Entertainment Studios-MGM Television-First Cause-Capital Arts Entertainment,18/1/2023,0,0,140.0,Released,The pack is back.,7.899,504,"['Tyler Posey', 'Crystal Reed', 'Holland Roden', 'Tyler Hoechlin', 'Shelley Hennig', 'JR Bourne', 'Ian Bohen', 'Colton Haynes', 'Linden Ashby', 'Melissa Ponzio', 'Ryan Kelley', 'Seth Gilliam', 'Orny Adams', 'Dylan Sprayberry', 'Khylin Rhambo', 'Aaron Hendry', 'Vince Mattis', 'Amy L. Workman', 'Adam Fristoe', 'Eaddy Mays', 'Manuel Rafael Lozano', 'Jesse Posey', 'Nobi Nakanishi', 'Chloe Bremer', 'Carolina Montenegro', 'L.B. Fisher', 'Ashley Flowers', 'Mason Douglas']",sequel-werewolf-supernatural creature-based on movie-banshee-northern california-based on tv series-2020s,/wAkpPm3wcHRqZl8XjUI3Y2chYq2.jpg,/96SADhPnkXnVN3KaRKsDeBovLcm.jpg,542196-955991-536554-1035806-846433-1013870-842544-996727-899579-843794-758009-934957-947938-653851-1075304-1056569-1006540-505642-878183-683328-826753
